Date,Year,Month,MonthName,Quarter,YearMonth,IsActual
2024-01-01,2024,1,Jan,Q1,2024-01,1
2024-02-01,2024,2,Feb,Q1,2024-02,1
2024-03-01,2024,3,Mar,Q1,2024-03,1
2024-04-01,2024,4,Apr,Q2,2024-04,1
2024-05-01,2024,5,May,Q2,2024-05,1
2024-06-01,2024,6,Jun,Q2,2024-06,1
2024-07-01,2024,7,Jul,Q3,2024-07,1
2024-08-01,2024,8,Aug,Q3,2024-08,1
2024-09-01,2024,9,Sep,Q3,2024-09,1
2024-10-01,2024,10,Oct,Q4,2024-10,1
2024-11-01,2024,11,Nov,Q4,2024-11,1
2024-12-01,2024,12,Dec,Q4,2024-12,1
2025-01-01,2025,1,Jan,Q1,2025-01,1
2025-02-01,2025,2,Feb,Q1,2025-02,1
2025-03-01,2025,3,Mar,Q1,2025-03,1
2025-04-01,2025,4,Apr,Q2,2025-04,1
2025-05-01,2025,5,May,Q2,2025-05,1
2025-06-01,2025,6,Jun,Q2,2025-06,1
2025-07-01,2025,7,Jul,Q3,2025-07,1
2025-08-01,2025,8,Aug,Q3,2025-08,1
2025-09-01,2025,9,Sep,Q3,2025-09,1
2025-10-01,2025,10,Oct,Q4,2025-10,1
2025-11-01,2025,11,Nov,Q4,2025-11,1
2025-12-01,2025,12,Dec,Q4,2025-12,1
2026-01-01,2026,1,Jan,Q1,2026-01,1
2026-02-01,2026,2,Feb,Q1,2026-02,1
2026-03-01,2026,3,Mar,Q1,2026-03,1
2026-04-01,2026,4,Apr,Q2,2026-04,1
2026-05-01,2026,5,May,Q2,2026-05,1
2026-06-01,2026,6,Jun,Q2,2026-06,1
2026-07-01,2026,7,Jul,Q3,2026-07,1
2026-08-01,2026,8,Aug,Q3,2026-08,1
2026-09-01,2026,9,Sep,Q3,2026-09,0
2026-10-01,2026,10,Oct,Q4,2026-10,0
2026-11-01,2026,11,Nov,Q4,2026-11,0
2026-12-01,2026,12,Dec,Q4,2026-12,0
2027-01-01,2027,1,Jan,Q1,2027-01,0
2027-02-01,2027,2,Feb,Q1,2027-02,0
2027-03-01,2027,3,Mar,Q1,2027-03,0
2027-04-01,2027,4,Apr,Q2,2027-04,0
2027-05-01,2027,5,May,Q2,2027-05,0
2027-06-01,2027,6,Jun,Q2,2027-06,0
