Date,SKU,ChannelID,StatForecastUnits,SalesForecastUnits,ConsensusForecastUnits,ActualUnits
2024-01-01,V-CIT-12,CH-RET,103688,112087,108728,102289
2024-01-01,V-CIT-12,CH-CLB,56557,61138,59306,55794
2024-01-01,V-CIT-12,CH-ECM,28279,30569,29653,27897
2024-01-01,V-BER-12,CH-RET,79365,88664,84944,81168
2024-01-01,V-BER-12,CH-CLB,43290,48362,46333,44274
2024-01-01,V-BER-12,CH-ECM,21645,24181,23167,22137
2024-01-01,V-TRO-12,CH-RET,58947,64743,62424,60710
2024-01-01,V-TRO-12,CH-CLB,32153,35314,34050,33114
2024-01-01,V-TRO-12,CH-ECM,16076,17657,17025,16557
2024-01-01,V-CIT-24,CH-RET,64384,71719,68785,65233
2024-01-01,V-CIT-24,CH-CLB,35119,39120,37519,35582
2024-01-01,V-CIT-24,CH-ECM,17559,19560,18760,17791
2024-01-01,V-BER-24,CH-RET,53772,59456,57182,52596
2024-01-01,V-BER-24,CH-CLB,29330,32430,31190,28689
2024-01-01,V-BER-24,CH-ECM,14665,16215,15595,14344
2024-01-01,V-GIN-12,CH-RET,44364,48844,47052,43786
2024-01-01,V-GIN-12,CH-CLB,24198,26642,25665,23883
2024-01-01,V-GIN-12,CH-ECM,12099,13321,12832,11942
2024-01-01,V-MEL-24,CH-RET,69854,76598,73900,68545
2024-01-01,V-MEL-24,CH-CLB,38102,41780,40309,37388
2024-01-01,V-MEL-24,CH-ECM,19051,20890,20155,18694
2024-01-01,V-COC-24,CH-RET,48633,54089,51907,49804
2024-01-01,V-COC-24,CH-CLB,26527,29503,28313,27166
2024-01-01,V-COC-24,CH-ECM,13264,14752,14156,13583
2024-02-01,V-CIT-12,CH-RET,103957,115335,110784,105059
2024-02-01,V-CIT-12,CH-CLB,56704,62910,60428,57305
2024-02-01,V-CIT-12,CH-ECM,28352,31455,30214,28652
2024-02-01,V-BER-12,CH-RET,81248,88747,85747,79093
2024-02-01,V-BER-12,CH-CLB,44317,48408,46771,43142
2024-02-01,V-BER-12,CH-ECM,22159,24204,23386,21571
2024-02-01,V-TRO-12,CH-RET,60290,65289,63289,59252
2024-02-01,V-TRO-12,CH-CLB,32885,35612,34522,32319
2024-02-01,V-TRO-12,CH-ECM,16443,17806,17261,16160
2024-02-01,V-CIT-24,CH-RET,64731,70710,68318,64375
2024-02-01,V-CIT-24,CH-CLB,35308,38569,37265,35114
2024-02-01,V-CIT-24,CH-ECM,17654,19285,18632,17557
2024-02-01,V-BER-24,CH-RET,54464,58931,57144,54069
2024-02-01,V-BER-24,CH-CLB,29708,32144,31170,29492
2024-02-01,V-BER-24,CH-ECM,14854,16072,15585,14746
2024-02-01,V-GIN-12,CH-RET,43737,47575,46040,43021
2024-02-01,V-GIN-12,CH-CLB,23856,25950,25113,23466
2024-02-01,V-GIN-12,CH-ECM,11928,12975,12556,11733
2024-02-01,V-MEL-24,CH-RET,68865,76457,73420,69383
2024-02-01,V-MEL-24,CH-CLB,37562,41704,40047,37845
2024-02-01,V-MEL-24,CH-ECM,18781,20852,20024,18923
2024-02-01,V-COC-24,CH-RET,49289,53544,51842,49117
2024-02-01,V-COC-24,CH-CLB,26885,29206,28278,26791
2024-02-01,V-COC-24,CH-ECM,13443,14603,14139,13396
2024-03-01,V-CIT-12,CH-RET,112177,121542,117796,111652
2024-03-01,V-CIT-12,CH-CLB,61188,66295,64252,60901
2024-03-01,V-CIT-12,CH-ECM,30594,33148,32126,30450
2024-03-01,V-BER-12,CH-RET,86266,96435,92367,84121
2024-03-01,V-BER-12,CH-CLB,47054,52601,50382,45884
2024-03-01,V-BER-12,CH-ECM,23527,26300,25191,22942
2024-03-01,V-TRO-12,CH-RET,62832,70204,67256,64268
2024-03-01,V-TRO-12,CH-CLB,34272,38293,36685,35055
2024-03-01,V-TRO-12,CH-ECM,17136,19147,18342,17528
2024-03-01,V-CIT-24,CH-RET,68700,75008,72485,67164
2024-03-01,V-CIT-24,CH-CLB,37473,40914,39537,36635
2024-03-01,V-CIT-24,CH-ECM,18736,20457,19769,18317
2024-03-01,V-BER-24,CH-RET,57307,62641,60507,58205
2024-03-01,V-BER-24,CH-CLB,31258,34168,33004,31748
2024-03-01,V-BER-24,CH-ECM,15629,17084,16502,15874
2024-03-01,V-GIN-12,CH-RET,46287,50017,48525,46382
2024-03-01,V-GIN-12,CH-CLB,25248,27282,26468,25299
2024-03-01,V-GIN-12,CH-ECM,12624,13641,13234,12650
2024-03-01,V-MEL-24,CH-RET,72332,78708,76157,72546
2024-03-01,V-MEL-24,CH-CLB,39454,42931,41540,39570
2024-03-01,V-MEL-24,CH-ECM,19727,21466,20770,19785
2024-03-01,V-COC-24,CH-RET,51568,56905,54770,51998
2024-03-01,V-COC-24,CH-CLB,28128,31039,29875,28362
2024-03-01,V-COC-24,CH-ECM,14064,15520,14937,14181
2024-04-01,V-CIT-12,CH-RET,114846,125038,120961,114883
2024-04-01,V-CIT-12,CH-CLB,62643,68203,65979,62663
2024-04-01,V-CIT-12,CH-ECM,31322,34101,32989,31332
2024-04-01,V-BER-12,CH-RET,88824,96176,93235,90213
2024-04-01,V-BER-12,CH-CLB,48449,52459,50855,49207
2024-04-01,V-BER-12,CH-ECM,24225,26230,25428,24603
2024-04-01,V-TRO-12,CH-RET,65802,72039,69544,64451
2024-04-01,V-TRO-12,CH-CLB,35892,39294,37933,35155
2024-04-01,V-TRO-12,CH-ECM,17946,19647,18967,17578
2024-04-01,V-CIT-24,CH-RET,71208,79583,76233,71965
2024-04-01,V-CIT-24,CH-CLB,38841,43409,41582,39254
2024-04-01,V-CIT-24,CH-ECM,19420,21704,20791,19627
2024-04-01,V-BER-24,CH-RET,59484,66032,63413,60668
2024-04-01,V-BER-24,CH-CLB,32446,36017,34589,33092
2024-04-01,V-BER-24,CH-ECM,16223,18009,17294,16546
2024-04-01,V-GIN-12,CH-RET,47937,53641,51359,48091
2024-04-01,V-GIN-12,CH-CLB,26148,29259,28014,26231
2024-04-01,V-GIN-12,CH-ECM,13074,14629,14007,13116
2024-04-01,V-MEL-24,CH-RET,73980,81195,78309,74860
2024-04-01,V-MEL-24,CH-CLB,40353,44288,42714,40833
2024-04-01,V-MEL-24,CH-ECM,20176,22144,21357,20416
2024-04-01,V-COC-24,CH-RET,53214,58004,56088,54317
2024-04-01,V-COC-24,CH-CLB,29026,31638,30593,29627
2024-04-01,V-COC-24,CH-ECM,14513,15819,15297,14814
2024-05-01,V-CIT-12,CH-RET,120652,131264,127019,121737
2024-05-01,V-CIT-12,CH-CLB,65810,71598,69283,66402
2024-05-01,V-CIT-12,CH-ECM,32905,35799,34642,33201
2024-05-01,V-BER-12,CH-RET,93493,101452,98269,93354
2024-05-01,V-BER-12,CH-CLB,50996,55338,53601,50920
2024-05-01,V-BER-12,CH-ECM,25498,27669,26801,25460
2024-05-01,V-TRO-12,CH-RET,68599,76018,73050,69059
2024-05-01,V-TRO-12,CH-CLB,37418,41464,39846,37668
2024-05-01,V-TRO-12,CH-ECM,18709,20732,19923,18834
2024-05-01,V-CIT-24,CH-RET,75138,82999,79854,74240
2024-05-01,V-CIT-24,CH-CLB,40984,45272,43557,40495
2024-05-01,V-CIT-24,CH-ECM,20492,22636,21778,20247
2024-05-01,V-BER-24,CH-RET,61910,67066,65004,60125
2024-05-01,V-BER-24,CH-CLB,33769,36582,35457,32796
2024-05-01,V-BER-24,CH-ECM,16885,18291,17728,16398
2024-05-01,V-GIN-12,CH-RET,50405,54692,52978,51520
2024-05-01,V-GIN-12,CH-CLB,27494,29832,28897,28102
2024-05-01,V-GIN-12,CH-ECM,13747,14916,14448,14051
2024-05-01,V-MEL-24,CH-RET,74851,83752,80192,75340
2024-05-01,V-MEL-24,CH-CLB,40828,45683,43741,41094
2024-05-01,V-MEL-24,CH-ECM,20414,22842,21870,20547
2024-05-01,V-COC-24,CH-RET,55052,60303,58203,54996
2024-05-01,V-COC-24,CH-CLB,30028,32893,31747,29998
2024-05-01,V-COC-24,CH-ECM,15014,16446,15873,14999
2024-06-01,V-CIT-12,CH-RET,127905,139265,134721,128590
2024-06-01,V-CIT-12,CH-CLB,69766,75963,73484,70140
2024-06-01,V-CIT-12,CH-ECM,34883,37981,36742,35070
