Date,SKU,DCID,OnHandUnits,SafetyStockUnits
2024-01-01,V-CIT-12,DC-EAST,100717,44479
2024-01-01,V-CIT-12,DC-CEN,78335,34595
2024-01-01,V-CIT-12,DC-WEST,44763,19769
2024-01-01,V-BER-12,DC-EAST,85347,34750
2024-01-01,V-BER-12,DC-CEN,66381,27028
2024-01-01,V-BER-12,DC-WEST,37932,15444
2024-01-01,V-TRO-12,DC-EAST,62464,25537
2024-01-01,V-TRO-12,DC-CEN,48583,19862
2024-01-01,V-TRO-12,DC-WEST,27762,11350
2024-01-01,V-CIT-24,DC-EAST,71117,28139
2024-01-01,V-CIT-24,DC-CEN,55314,21886
2024-01-01,V-CIT-24,DC-WEST,31608,12506
2024-01-01,V-BER-24,DC-EAST,60032,23393
2024-01-01,V-BER-24,DC-CEN,46691,18194
2024-01-01,V-BER-24,DC-WEST,26681,10397
2024-01-01,V-GIN-12,DC-EAST,48268,19249
2024-01-01,V-GIN-12,DC-CEN,37541,14971
2024-01-01,V-GIN-12,DC-WEST,21452,8555
2024-01-01,V-MEL-24,DC-EAST,76688,30232
2024-01-01,V-MEL-24,DC-CEN,59646,23514
2024-01-01,V-MEL-24,DC-WEST,34084,13436
2024-01-01,V-COC-24,DC-EAST,51746,21235
2024-01-01,V-COC-24,DC-CEN,40247,16516
2024-01-01,V-COC-24,DC-WEST,22998,9438
2024-02-01,V-CIT-12,DC-EAST,92922,45321
2024-02-01,V-CIT-12,DC-CEN,72273,35249
2024-02-01,V-CIT-12,DC-WEST,41299,20143
2024-02-01,V-BER-12,DC-EAST,89852,35079
2024-02-01,V-BER-12,DC-CEN,69885,27283
2024-02-01,V-BER-12,DC-WEST,39934,15590
2024-02-01,V-TRO-12,DC-EAST,65500,25891
2024-02-01,V-TRO-12,DC-CEN,50944,20138
2024-02-01,V-TRO-12,DC-WEST,29111,11507
2024-02-01,V-CIT-24,DC-EAST,73385,27948
2024-02-01,V-CIT-24,DC-CEN,57077,21738
2024-02-01,V-CIT-24,DC-WEST,32616,12422
2024-02-01,V-BER-24,DC-EAST,61502,23377
2024-02-01,V-BER-24,DC-CEN,47835,18182
2024-02-01,V-BER-24,DC-WEST,27334,10390
2024-02-01,V-GIN-12,DC-EAST,50080,18834
2024-02-01,V-GIN-12,DC-CEN,38951,14649
2024-02-01,V-GIN-12,DC-WEST,22258,8371
2024-02-01,V-MEL-24,DC-EAST,78869,30036
2024-02-01,V-MEL-24,DC-CEN,61343,23361
2024-02-01,V-MEL-24,DC-WEST,35053,13349
2024-02-01,V-COC-24,DC-EAST,53144,21208
2024-02-01,V-COC-24,DC-CEN,41334,16495
2024-02-01,V-COC-24,DC-WEST,23619,9426
2024-03-01,V-CIT-12,DC-EAST,84987,48189
2024-03-01,V-CIT-12,DC-CEN,66101,37481
2024-03-01,V-CIT-12,DC-WEST,37772,21417
2024-03-01,V-BER-12,DC-EAST,96384,37787
2024-03-01,V-BER-12,DC-CEN,74965,29390
2024-03-01,V-BER-12,DC-WEST,42837,16794
2024-03-01,V-TRO-12,DC-EAST,68054,27514
2024-03-01,V-TRO-12,DC-CEN,52931,21400
2024-03-01,V-TRO-12,DC-WEST,30246,12228
2024-03-01,V-CIT-24,DC-EAST,77019,29653
2024-03-01,V-CIT-24,DC-CEN,59904,23063
2024-03-01,V-CIT-24,DC-WEST,34231,13179
2024-03-01,V-BER-24,DC-EAST,61936,24753
2024-03-01,V-BER-24,DC-CEN,48172,19252
2024-03-01,V-BER-24,DC-WEST,27527,11001
2024-03-01,V-GIN-12,DC-EAST,50950,19851
2024-03-01,V-GIN-12,DC-CEN,39627,15440
2024-03-01,V-GIN-12,DC-WEST,22644,8823
2024-03-01,V-MEL-24,DC-EAST,81646,31155
2024-03-01,V-MEL-24,DC-CEN,63502,24232
2024-03-01,V-MEL-24,DC-WEST,36287,13847
2024-03-01,V-COC-24,DC-EAST,54667,22406
2024-03-01,V-COC-24,DC-CEN,42519,17427
2024-03-01,V-COC-24,DC-WEST,24296,9958
2024-04-01,V-CIT-12,DC-EAST,77992,49484
2024-04-01,V-CIT-12,DC-CEN,60661,38488
