Date,PlantID,CapacityUnits,ProductionPlanUnits,ActualProductionUnits
2024-01-01,PL-COL,800000,607583,597228
2024-01-01,PL-REN,500000,379739,372592
2024-02-01,PL-COL,800000,607300,592677
2024-02-01,PL-REN,500000,379563,374242
2024-03-01,PL-COL,800000,644098,624765
2024-03-01,PL-REN,460000,402561,388285
2024-04-01,PL-COL,800000,665773,658734
2024-04-01,PL-REN,500000,416108,407770
2024-05-01,PL-COL,800000,695273,678224
2024-05-01,PL-REN,500000,434545,426926
2024-06-01,PL-COL,800000,720435,699161
2024-06-01,PL-REN,500000,450272,436949
2024-07-01,PL-COL,800000,739728,723343
2024-07-01,PL-REN,500000,462330,462263
2024-08-01,PL-COL,800000,716944,696456
2024-08-01,PL-REN,500000,448090,446593
2024-09-01,PL-COL,800000,673646,659936
2024-09-01,PL-REN,500000,421029,406253
2024-10-01,PL-COL,800000,645223,641424
2024-10-01,PL-REN,500000,403264,394425
2024-11-01,PL-COL,800000,645621,643004
2024-11-01,PL-REN,500000,403513,394557
2024-12-01,PL-COL,800000,697491,672041
2024-12-01,PL-REN,500000,435932,430386
2025-01-01,PL-COL,800000,637741,633800
2025-01-01,PL-REN,500000,398588,387740
2025-02-01,PL-COL,800000,638933,622255
2025-02-01,PL-REN,500000,399333,384397
2025-03-01,PL-COL,800000,674023,661680
2025-03-01,PL-REN,460000,421265,419434
2025-04-01,PL-COL,800000,695163,691030
2025-04-01,PL-REN,500000,434477,429468
2025-05-01,PL-COL,800000,726727,724614
2025-05-01,PL-REN,500000,454204,447622
2025-06-01,PL-COL,800000,755497,749263
2025-06-01,PL-REN,500000,472186,462907
2025-07-01,PL-COL,800000,779346,751956
2025-07-01,PL-REN,500000,487091,471524
2025-08-01,PL-COL,800000,753303,727355
2025-08-01,PL-REN,500000,470814,466867
2025-09-01,PL-COL,800000,712524,684772
2025-09-01,PL-REN,500000,445328,437383
2025-10-01,PL-COL,800000,688381,671004
2025-10-01,PL-REN,500000,430238,426859
2025-11-01,PL-COL,800000,681719,669493
2025-11-01,PL-REN,500000,426074,419461
2025-12-01,PL-COL,800000,736831,709899
2025-12-01,PL-REN,500000,460519,447796
2026-01-01,PL-COL,800000,678914,678903
2026-01-01,PL-REN,500000,424321,419549
2026-02-01,PL-COL,800000,680444,667534
2026-02-01,PL-REN,500000,425277,421351
2026-03-01,PL-COL,800000,714396,709348
2026-03-01,PL-REN,460000,446498,429955
2026-04-01,PL-COL,800000,742973,742152
2026-04-01,PL-REN,500000,464358,457715
2026-05-01,PL-COL,800000,773646,756625
2026-05-01,PL-REN,500000,483529,477342
2026-06-01,PL-COL,800000,800000,779024
2026-06-01,PL-REN,500000,500000,497559
2026-07-01,PL-COL,800000,800000,792968
2026-07-01,PL-REN,500000,500000,492796
2026-08-01,PL-COL,800000,800000,773823
2026-08-01,PL-REN,500000,500000,499325
2026-09-01,PL-COL,800000,759749,
2026-09-01,PL-REN,500000,474843,
2026-10-01,PL-COL,800000,800000,
2026-10-01,PL-REN,500000,500000,
2026-11-01,PL-COL,800000,800000,
2026-11-01,PL-REN,500000,500000,
2026-12-01,PL-COL,800000,800000,
2026-12-01,PL-REN,500000,500000,
2027-01-01,PL-COL,800000,720036,
2027-01-01,PL-REN,500000,450023,
2027-02-01,PL-COL,800000,722362,
2027-02-01,PL-REN,500000,451476,
2027-03-01,PL-COL,800000,768117,
2027-03-01,PL-REN,460000,460000,
2027-04-01,PL-COL,800000,794793,
2027-04-01,PL-REN,500000,496745,
2027-05-01,PL-COL,800000,800000,
2027-05-01,PL-REN,500000,500000,
2027-06-01,PL-COL,800000,800000,
2027-06-01,PL-REN,500000,500000,
